,Company,Job Title,Job Location,Job Date,Job Image URL
11,Euruq Alsahra,Chief Technology Office  Data Analyst,"Cairo, Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHXJwGnCLp93w/company-logo_100_100/0/1662550057230?e=2147483647&v=beta&t=1lQDBtgk8W0OjxB4hUA9FBUdhvBFU6iPH1YjcQ_07XE
12,DCarbon Egypt,Lifecycle Assessment and Carbon Footprint Researcher,"Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFTDnd_U8sxYw/company-logo_100_100/0/1519903462846?e=2147483647&v=beta&t=MvkNyUjuF_VTUEPBxgsn0E7iFTpg9D0_dRIarx-6WDY
13,MoneyFellows,Data Analyst,"Cairo, Cairo, Egypt",4 months ago,https://media-exp1.licdn.com/dms/image/C560BAQFtm8J14fUtKA/company-logo_100_100/0/1547357095324?e=2147483647&v=beta&t=MvesAC0RzhxEsCc3L2or73cCleQeYnGvPlnOJ-sDmBE
14,Floward,Senior Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
15,Future Group Translation Services,Senior Business Intelligence Analyst,"Giza, Al Jizah, Egypt",8 hours ago,https://media-exp1.licdn.com/dms/image/C560BAQGjslUN29H0Ow/company-logo_100_100/0/1522000128250?e=2147483647&v=beta&t=y2a5bY9pMoCniodl11f9NcvgGnUXr-ZTQ__pOjED8gs
16,Turing.com,Remote Data Analyst Jobs,Egypt,2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHWL-DC3W7lTQ/company-logo_100_100/0/1656664852847?e=2147483647&v=beta&t=GsGQEvtmF4QIoWMyEILibLItAziqc0YD0QQ2yqWXYJU
17,_VOIS,Delivery & Investment Data Analyst (_VOIS),Egypt,4 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFyVv7iyWtQuw/company-logo_100_100/0/1634135564245?e=2147483647&v=beta&t=Xa3fctUVTGbic98WKmwa3Lx5n9SIe7s0w9rPhT1IJ10
18,The American University in Cairo,"Officer, Research, Abdul Latif Jameel Poverty Action Lab (J-PAL MENA at AUC) - ""Grants Position""","Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGjzyYT-NNNFw/company-logo_100_100/0/1610442280959?e=2147483647&v=beta&t=zt58kiruQdWoKPVXFx9F99MoSx4FcmWwH__o-5pshhk
19,Infomineo,Business Research Analyst,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQELduPry3evGQ/company-logo_100_100/0/1638534317233?e=2147483647&v=beta&t=izNr2R0OuhPAwpw-6hnQvklYieeSJ2KTWGuV_ycgrrM
20,Transsion,Senior Market Researcher,"New Cairo, Cairo, Egypt",3 hours ago,https://media-exp1.licdn.com/dms/image/C560BAQHiu4ZmCLn9_g/company-logo_100_100/0/1598258204991?e=2147483647&v=beta&t=ZJcR2sB95Fosz_6ZDEzAmUUv_4E2PKEnwJWytIqhCUc
21,Transsion,Senior Market Researcher,"New Cairo, Cairo, Egypt",3 hours ago,https://media-exp1.licdn.com/dms/image/C560BAQHiu4ZmCLn9_g/company-logo_100_100/0/1598258204991?e=2147483647&v=beta&t=ZJcR2sB95Fosz_6ZDEzAmUUv_4E2PKEnwJWytIqhCUc
