,Company,Job Title,Job Location,Job Date,Job Image URL
59,Turing.com,Remote Python Developer Jobs,Egypt,2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHWL-DC3W7lTQ/company-logo_100_100/0/1656664852847?e=2147483647&v=beta&t=GsGQEvtmF4QIoWMyEILibLItAziqc0YD0QQ2yqWXYJU
60,Dell Technologies,Software Engineer Graduate Intern,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
61,Dell Technologies,Software Engineer Graduate Intern,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
62,PaxeraHealth,AI Engineer,"6th of October, Al Jizah, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHuv_qD2vApqA/company-logo_100_100/0/1519912802205?e=2147483647&v=beta&t=YYLz2ObaQtYwCq95qeTSsPfhrzDYZdshovKOmw8qugc
63,Idea ICT,Python Developer with ERPNext and Frappe Experience,"Alexandria, Egypt",5 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQG4wDM0HWhqnw/company-logo_100_100/0/1519882833873?e=2147483647&v=beta&t=8w2-U6NBgrIzzdaGskh-LG8yVpbQs6AqZQuP5p2DMCQ
64,Tribal,Machine Learning Engineer,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGzH3jwML6rUA/company-logo_100_100/0/1637777049451?e=2147483647&v=beta&t=MNtEfpNzA93buOgiOB8C3RG9HNaegSoxhJOCn4ZNAYw
65,Cornerstone Recruitment MENA,Data Analyst,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH62iaBWAFgzA/company-logo_100_100/0/1655186307580?e=2147483647&v=beta&t=cccPfMpeiYvNe_VGgxNEp4ojt_HqTX_X-1AHAd29C64
66,Dominick E-Solutions,Data Engineer,"Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFcPXwnVRdRAw/company-logo_100_100/0/1659263340337?e=2147483647&v=beta&t=IJAIbY-84gC8j7KNLAfw3NR8xA-vXDbweWrW3_8aACA
67,VOYɅNCE,Algorithm Development System Engineer,"New Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C560BAQHHn_sZ9NEMoQ/company-logo_100_100/0/1619863194099?e=2147483647&v=beta&t=6yieupmDm32vM4VBBrdoncGlNvX3GT7pgUraq70qZwo
68,Fugro,Data Engineer,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQHg3VjvnoShqQ/company-logo_100_100/0/1559309136763?e=2147483647&v=beta&t=7gNeSTjjvhRIMIhtwwFYdQznmlKHxumQ-XSvLXAO470
69,Arrow Electronics,AI/ML (Artificial Intelligence/Machine Learning) Lead,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQFgZRUPzyH9Yg/company-logo_100_100/0/1541008385235?e=2147483647&v=beta&t=2umAhRRQb4hukEjvvE5H0WbyeyvfO7HVBl8G-DmsW6s
70,Teradata,Data Scientist,"Cairo, Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGrLEbqJZRT-w/company-logo_100_100/0/1538982145946?e=2147483647&v=beta&t=adiKI9fgE8PlqGA142XZbgwWpfTB8rgRFk4zd67qwEY
71,Koinz,Data Analyst,"Cairo, Egypt",5 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGe0lof7xRcPw/company-logo_100_100/0/1570868482744?e=2147483647&v=beta&t=ax2X3sUOaQ5ZfsBFuUhm8VwvlD7ZQvsap_GzRnJTxxI
72,Dell Technologies,5G Senior Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
73,Cobblestone Energy,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
74,Dell Technologies,5G Senior Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
